0xb20458b04e4bae45a9c821d668311bbdf4d1b102cc0e8091dddbe6231e8471de,Approved 0x96bf8af7 For Trade On 0x7a25488d,Approved 0x96bf8af7 For Trade On 0x7a25488d
0xe3a451626d7d0a2ff437e5d4acb9a273ce371e1525ca5dfa020a463aea91d430,Transfer 1000005 0xdac11ec7 To 0x742e3e5e,Transfer 100 0xdac11ec7 To 0x742e3e5e
0x29c5ae5ab69d47aa7f8e2e54f82042f24554ae55b3e207b762fc91c9ac54516a,Swap 0014 Ether For 55489651684996701 0xd8526034 On Uniswap V2,Swap 014 Ether For 55489651684996701 0xd8526034 On Uniswap V2
0x12a893f12e7eba0391b260cd716e6f2c86b422dc981ca54bfe078b96a24e25de,Approved 0xc02a6cc2 For Trade On 0x00008ba3,Approved 0xc02a6cc2 For Trade On 0x00008ba3
0x90225a98196367571f8c178e3db44b83e1a68bf7c0dcb5639fdfe5329c2a0451,Mint 1 of 0x932248bf,Mint 1 of 0x932248bf
0xed0fb1a3219db877a2a2e684ea50974d77e55f897dcf742ca2507dc53597155f,Swap 0016 Ether For 5911361786366301 0xd8526034 On Uniswap V2,Swap 016 Ether For 59113617863663010 0xd8526034 On Uniswap V2
0x613516f9e440f791ed6935d7e375a196f374965cb9a9a3ca1f5cff75f42a436b,Approved 0x7bd4686f For Trade On 0x613137b5,Approved 0x7bd4686f For Trade On 0x613137b5
0xb6ee4384f47918ae29270b746310f0c183fb827a2c637ffbc5248712b2b5d023,Swap 1671037023339983288761 0x9fb61d80 For 0096914570314754387 Ether On Uniswap V2,Swap 1671037023339983288761 0x9fb61d80 For 0096914570314754387 Ether On Uniswap V2
0x4bd4345941a8ad2a8c8b61497c148f2fa59163e349c971c6b0410488bac6a493,Mint 1 of 0x57f1ea85\nMint 1 of 0xd4416401,Mint 1 of 0x57f1ea85\nMint 1 of 0xd4416401
0x1f9024e926bf4350ab05e30fc6d1b1a552acf7ca386721b96312d220cabc96ff,Mint 1 of 0x00000803,Mint 1 of 0x00000803
0x5cc569d920a5e91bd543a2b1ccf057ba3339fea84373a7c043d79999276ae90e,Transfer 1850 0xdac11ec7 To 0xf64b7489,Transfer 185 0xdac11ec7 To 0xf64b7489
0x07ad3187bf322085ec0ed2058936b3b64864772aac119add01a510ab1d6c3ae2,Mint 1 of 0x57f1ea85\nMint 1 of 0xd4416401,Mint 1 of 0x57f1ea85\nMint 1 of 0xd4416401
0x1aeffc71366b60b0a63b6be7e8004794a9bf664c30edc77eb9cda67b0709ef68,Transfer 214884444 0xa0b8eb48 To 0xcc0037fd,Transfer 21488444 0xa0b8eb48 To 0xcc0037fd
0xbecee7171262c2536884f3faa94507e3036742a09434c0fd27b384c4ad79e5d9,Mint 1 of 0x00000803,Mint 1 of 0x00000803
0x7bdf77c025dd79156f99426a63c6f828b9c751edc3260e6355e8621e0a88db3b,Mint 1 of 0xeb27ea77,Mint 1 of 0xeB27Ea77
0x1933d27af0bc0c3709c55e83e5bdd54d1d289bf84e0bfa90de0686fda28cabdd,Swap 1 Ether For 1924855756603386973177572833 0x06456fb8 On Uniswap V3,Swap 01924855756603386973177572833 Ether For 30340983008968261848237411 0x06456fb8 On Uniswap V3
0x5795a8170461392d8ee22144f5c25e6f1839bb4dfe5b2497bf5543d0bbb0df19,Swap 007000000000000001 Ether For 424845864356903617339 0x8a0bf591 On Uniswap V2,Swap 0700000000000001 Ether For 4248458643569036173390 0x8a0bf591 On Uniswap V2
0x914d012eb2c6648172be8968c69e616cb126914000a07be91609d9a798c92d64,Approved 0xdac11ec7 For Trade On 0x10dc8a38,Approved 0xdac11ec7 For Trade On 0x10dc8a38
0x0f89c8d4c131b1933796491ff0071cd76dc4e5a1b9935075e757ca577046074a,Swap 0016 Ether For 57748097953382595 0xd8526034 On Uniswap V2,Swap 016 Ether For 57748097953382595 0xd8526034 On Uniswap V2
0xf7f694cc76b33a684d463174f411a48bf932e06a9012a37727b94b6a3a51622b,Swap 003 Ether For 21724428127918159 0xb389d312 On Uniswap V3,Swap 03 Ether For 21724428127918159 96025693657350882999636449391 0xb389d312 On Uniswap V3
0x02a1bda4b070bcbc218f3d6e2b078081b2b9e1eaa33e20191c45eddeee11e0d5,Approved 0x7e77b068 For Trade On 0x00008ba3,Approved 0x7e77b068 For Trade On 0x00008ba3
0x78f06f687ff42a3fa68c03a9fb796285ac1324229b8c4e3693075bdb4c70fabb,Approved 0xa0b8eb48 For Trade On 0x7a63100b,Approved 0xa0b8eb48 For Trade On 0x7a63100b
0xa9d71efe68702d6b927d25ff026c2907298afa0d8fc1df93226ae84548e844b1,Swap 0396 Ether For 86869633656097 0x723f6fc4 On Uniswap V2,Swap 00396 Ether For 86869633656097 0x723f6fc4 On Uniswap V2
0x862f0c250cc0ff30cfde635dcf4a05bb9453133ac560d988d86e15b122dd5d0d,Mint 10 of 0x4fcf3906,Mint 10 of 0x4fcf3906
0x2df617a68245bf085757ad1d28afa20f03f1f16a5360d1f7d3208e804651baca,Transfer 1896648717 0xa0b8eb48 To 0x66a91c37,Transfer 1896648717 0xa0b8eb48 To 0x66a91c37
0x39e8fe8eba334d70fc5e566b6e03b10adaa2886c2efa66b9b8e56ecc22c3a1ca,Approved 0x8ed26839 For Trade On 0x00008ba3,Approved 0x8ed26839 For Trade On 0x00008ba3
0xd0d3d52bbae0afb8676fafb89a861987b73721a81d32603334b53aac31ff8a32,Swap 0014 Ether For 60539349093055333 0xd8526034 On Uniswap V2,Swap 014 Ether For 6053934909305533 0xd8526034 On Uniswap V2
0x9d79627051c67208d62d22c39cc2c0660c0f858c269b34af44c3f186606150b4,Transfer 104797145 0xdac11ec7 To 0x894062aa,Transfer 104797145 0xdac11ec7 To 0x894062aa
0x46c81c531230dfe54bf1f674310c298d45df15de05edeae6563523d6509cbe06,Approved 0xdac11ec7 For Trade On 0xcee2180d,Approved 0xdac11ec7 For Trade On 0xcee2180d
0xea1bbd5f3ffc0f26a2783e208f4ff8b240382e27d2f8f38da9b51b4b741354e2,Mint 1 of 0x00000803,Mint 1 of 0x00000803
0x3e6411c3cebbddf8371cb5268e0b2d8761e0d99f4b18e7d8905769462d44cbf8,Approved 0xa3e12c41 For Trade On 0x7a25488d,Approved 0xa3e12c41 For Trade On 0x7a25488d
0x16d482e6bb7060f8497ad7827016b2cfb2ea9dc39bff4de084514ba909d7b5f1,Approved 0x2f8e5e59 For Trade On 0x00008ba3,Approved 0x2f8e5e59 For Trade On 0x00008ba3
0xb05aaef1f5b11331e3cb9a056c3b429b18605370ce34142bd358a82d17c67f15,Mint 2 of 0x122c8eb4\nMint 1 of 0x65db84fa,Mint 1 of 0x122c8eb4
0xfba57c6bb858a2fbe06464fb6146ea36057f1261353e77158c5dc62c028d2d34,Transfer 1 of 0xa3428db5,Transfer 1 of 0xa3428db5
0xb27ee55167bc20c2d857e74d43b168fb180edf4199181c3c358050dc98cbdd71,Approved 0x6b171d0f For Trade On 0x83f2beea,Approved 0x6b171df For Trade On 0x83f2beea
0xb1d8373438944ad40f55b979bfd983d249dee95d8cbd3534c676290842ac3f74,Approved 0xcb06df71 For Trade On 0x58dfbcf9,Approved 0xcb06df71 For Trade On 0x58dfbcf9
0x392770a8a710f6e920beb461b04f57e396cf7077a3cda2af1cd6cf817d907fc9,Transfer 13699432 0x95adc4ce To 0x5ec10149,Transfer 13699432 0x95adc4ce To 0x5ec10149
0xc9dbb024f9b7533c61b1e58773507569602abecc7be7653bbf2e335b4112d750,Approved 0xf2b137db For Trade On 0x58dfbcf9,Approved 0xf2b137db For Trade On 0x58dfbcf9
0x7133f7bf74d8b98704129aa56380935304b6f3db6f4f8cdbcacc486700d54a6e,Transfer 289574 0x582ddef1 To 0xf6b3f796,Transfer 289574 0x582ddef1 To 0xf6b3f796
0xed20f76fd5840252e2ed277c1161439a1e1b2e8c678c9d7aa1abbe8b0b93202e,Swap 005 Ether For 1697391676173315206505 0x17575f1c On Uniswap V2,Swap 005 Ether For 1697391676173315206505 0x17575f1c On Uniswap V2
0x0588dabb5d556bbf226d3272dc417cb46517889e688e786f120ee492096a3254,Transfer 11000 0xdac11ec7 To 0x1b25b494,Transfer 1100 0xdac11ec7 To 0x1b25b494
0x60cdf5c3ead8964e7c942a48f5a4e0094daa8e74b2bb93622099a53b445c4600,Transfer 206183 0xa0b8eb48 To 0x2d90bb9b,Transfer 206183 0xa0b8eb48 To 0x2d90bb9b
0x48216bf55718900496f2d1a6245f66d34cfd0d44fade099a9ce9ae10d8896501,Swap 1740277493723561984 Ether For 461400818885813597807237367961 0x7f4c0dbd On Uniswap V3\nSwap 0179733240192434176 Ether For 6739854226358272 0x397bdc68 On Uniswap V2,Swap 01740277493723561984 Ether For 179733240192434176 0xc02a6cc2 On Uniswap V2\nSwap 0179733240192434176 Ether For 6739854226358272 0xc02a6cc2 On Uniswap V2
0x77541c3f66fdd28f522c5fed29041e336c9a98f0ec018deacf9904879d261a25,Transfer 54889 0xa0b8eb48 To 0x10dcdd94,Transfer 54889 0xa0b8eb48 To 0x10dcdd94
0x3abee4cf41af58457854ea7fce21faffb519831914d3ff59c216522414da27c8,Approved 0xb4fce573 For Trade On 0x00008ba3,Approved 0xb4fcxe573 For Trade On 0x00008ba3
0xe5a27f13e57622a0d8f5069a952c61bd77d6b576a7f4359321c07f1662edf31d,Transfer 104000000 0x95adc4ce To 0xe60ac2d6,Transfer 104 0x95adc4ce To 0xe60ac2d6
0xe3c8736d3d7e59ceb9eab0cda12353b39d807fd43638efc4861cdb741615e42c,Mint 1 of 0xffffc164,Mint 1 of 0xffffc164
0x76465a6eb8184b3d399635e3bd4943591b5c2719dd8b399705913c1488c616a2,Swap 1000000 0x19be8c07 For 0002636830555471455 Ether On Uniswap V2\nSwap 1741585871865269699802442 0x19be8c07 For 0044593728466893122 Ether On Uniswap V2,Swap 10000000000 0x19be8c07 For 02636830555471455 Ether On Uniswap V2\nSwap 2636830555471455 Ether For 17415858718652696998024420 0x19be8c07 On Uniswap V2\nSwap 044593728466893122 Ether For 00044593728466893122 0x3fc97fad On Uniswap V2
0xf2e9eb607a4e631fa858c3429ae9bef5db63a28f01897ea7db76435f5eb69ee8,Transfer 8457591 0x95adc4ce To 0xda983ff9,Transfer 8457591 0x95adc4ce To 0xda983ff9
0x68af32d390adcb4957f14e8b50350f141efa56e0f2577a0aae931528e0e94249,Transfer 20833333 0x99a0e53d To 0xab33870f,Transfer 20833333 0x99a0e53d To 0xab33870f
0xe12b79cbf065e332882836d221450aa6db83fb331a3412b5db7042e94fd6fc47,Mint 1 of 0x8d083b62,Mint 1 of 0x8d083b62
0x8d9cd5665b302f8bbd92e036b8adeb8dfa67971d2093135faee1d3880b2aa7f0,Transfer 2059871245 0xdac11ec7 To 0x9917dd7d,Transfer 2059871245 0xdac11ec7 To 0x9917dd7d
0x87f596a64b254a7138e2e4483ffd2c4e31159fd45f0a169bc71b67b8f3a9a00e,Swap 0447653 Ether For 59960228313820887 0xa6282372 On Uniswap V2,Swap 0447653 Ether For 59960228313820887 0xa6282372 On Uniswap V2
0x047c51bcb6679654ddc86111530551ca748781d2460b587bbbbf7319f31eef3b,Mint 1 of 0x00000803,Mint 1 of 0x00000803
0x727e12300b092d1c5aa5a44207321238eaa1aa14370a9baed49cb5d3ca0bb64f,Mint 1 of 0x6a77b676,Mint 1 of 0x6a77b676
0xd65bbed133276994ab7fc70017e6346202d545c811f221ec573b2334cd405cec,Transfer 29000 0xdefa7202 To 0x9cbf56ff,Transfer 29 0xdefa7202 To 0x9cbf56ff
0xc64ad109f3d5584dca370c7e7f158c6d5faa1e83650848a44729e788179feaad,Mint 1 of 0x4538f610,Mint 1 of 0x4538f610
0xfc08d26b308e5292bf4f9f89ca5641d7af038eda902a5f4b8a46a9f04a23cd74,Swap 0017999999999999998 Ether For 414815172158538051267698076 0xe3ce97ef On Uniswap V2,Swap 01799999999999998 Ether For 12444455164756141538030942 0xe3ce97ef On Uniswap V2
0x306c5bcc4ae835b783e01f4dc74435b432114bc7bf4e2330814f862e0dcbb474,Transfer 280 0xdac11ec7 To 0x7b97d847,Transfer 2800 0xdac11ec7 To 0x7b97d847
0x5b478cb1887c235b9841151c98769132f45e885585bb75962d6adf2e3004dc4b,Swap 006 Ether For 1870254913482257668471627 0xe0a47885 On Uniswap V2,Swap 06 Ether For 1870254913482257668471627 0xe0a47885 On Uniswap V2
0xcf06a818a676370b5e0f627c29d86cd5f74805a1e58b36dad5a9226ec1986e24,Transfer 293020098 0x514986ca To 0x85b5d832,Transfer 293020098 0x514986ca To 0x85b5d832
0x5d6760a07ae98e45890f297c0da6fc779286d54ff771719a4e50f5fcf934bbbd,Swap 0202891664030513379 Ether For 500000000000000002094 0x5f5161a3 On Uniswap V2,Swap 0202891664030513379 Ether For 5000000 0x5f5161a3 On Uniswap V2
0x64429b16633c2a533da780137fdbf656175ec2f55c43c7933a603c5896c55328,Approved 0x8423572c For Trade On 0x00008ba3,Approved 0x8423572c For Trade On 0x00008ba3
0xada2af66750836c1ce6cb50ec46e279c85d572f80c359ae621ac93c5c9718501,Transfer 19966324914 0xdac11ec7 To 0x1b130a0b,Transfer 19966324914 0xdac11ec7 To 0x1b130a0b
0xd3186bf84d33f30970499388e334c50b8dbe95d49b0840d5c219da2b956baad7,Transfer 641731 0x582ddef1 To 0x05cc87ac,Transfer 641731 0x582ddef1 To 0x05cc87ac
0x5094bd47ce104346452fe70eb5b9af32b65eaa00f2951d40edb3eeb849c21b73,Swap 0080947201432909677 Ether For 2869224719301763 0x397bdc68 On Uniswap V2,Swap 008 Ether For 2869224719301763 0397bdc68 On Uniswap V2
0x97c33335733ea0dacafaade2f52e9cf54f248a07192e7f1e1f7df6edf08275d4,Approved 0x1f7cdcf3 For Trade On 0x1e003c71,Approved 0x1f7cdf3 For Trade On 0x1e003c71
0x54b0c0e1ceae0979025e828b908faf097137204a07ffae843691a1d2fcd05d87,Swap 0495625 Ether For 81441382566188273551901780864 0xaaee1c7a On Uniswap V2,Swap 0495625 0xC02a6cc2 For 81441382566188273551901780864 Ether On Uniswap V2\nSwap 081441382566188273551901780864 Ether For 0081441382566188273551901780864 Mog On Uniswap V2
0x5c88cb3a24567dba2a342fb27b6c912d466862289c5068ae3df98cb3d20b835a,Mint 10 of 0x7bb8538f,Mint 10 of 0x7bb8538f
0x655ea3447613bdeb6d6e5a88ef6d135966c3653ba304d682f84a4c43841df102,Approved 0x27c76634 For Trade On 0x00008ba3,Approved 0x27c76634 For Trade On 0x00008ba3
0xc9ea9603182e32ff48149ea716a2e0ed8108e04d910a53aaf87026a543a5dafd,Swap 009440892836060406 Ether For 163288580223302 0xfd4580d0 On Uniswap V2,Swap 9440892836060406 0xc02a6cc2 For 122466435167477 Ether On Uniswap V2
0xf9cbc2abd9660bce3ae2d2a819c2f52062a3c02a38657e63d48cdfea69385baa,Transfer 1925129901 0xcb5324b4 To 0x14d99ab2,Transfer 1925129901 0xcb5324b4 To 0x14d99ab2
0x46b8dc6e59b6af6cf91cfa2c9f6d16a2a5067773d49f7c13367dbfebde35ba39,Transfer 4500 0xdac11ec7 To 0x1869a879,Transfer 450 0xdac11ec7 To 0x1869a879
0x29d156ab8f079b310e52959a889e18f1c39590ca68fc44f13c31e8df476a388a,Mint 1 of 0x00000803,Mint 1 of 0x00000803
0xbd043b9c6a641b8e6408bc835c11810e7f25cd8aab48a0dd862c0348ba4a7e2b,Mint 1 of 0x427bb376,Mint 1 of 0x427bb376
0xb7a4e82392f5962679ed29de12f0ae10fd48313e85303dd0ce9bf23ae1d660aa,Approved 0xd807db86 For Trade On 0xc92e0110,Approved 0xd807db86 For Trade On 0xc92e0110
0x22e53ad28e19198cd79ea05d004233bdf9783f5e136c52e434d059cf1cb3d281,Swap 005 Ether For 7327294172114812 0x1ff3e973 On Uniswap V2,Swap 005 Ether For 7327294172114812 0x1ff3e973 On Uniswap V2
0xa7c939d2a9d827412046f5e94d1ad2e62cf67254529c8f77f5876cf07d874820,Swap 1596497040868828928 Ether For 226759407822871764794 0x17766671 On Uniswap V3,Swap 0226759407822871764794 Ether For 1596497040868828928 0xc02a6cc2 On Uniswap V3
0x6ab4b8dd73933994b791808665065b0488f534c349440217a77b8262c61506b3,Mint 1 of 0x00000803,Mint 1 of 0x00000803
0x7199883f95935dec748a76c017be02fa31d5109116b7cc5d4316a8e484b08ca4,Transfer 105602365858924 0x8de20d9a To 0x927a503c,Transfer 105602365858924 0x8de20d9a To 0x927a503c
0x5553d8595b2f239a4e2cb4a8d3fd1e7be3df379853ce409c8dae66cd37c2b2a6,Approved 0x0e12c30e For Trade On 0x7a25488d,Approved 0x0e12c30e For Trade On 0x7a25488d
0xa02a2235f3b36b23735914a767a9f365d77377d2a4ea04efcdcf8112f72fbc13,Approved 0xc02a6cc2 For Trade On 0x00008ba3,Approved 0xc02a6cc2 For Trade On 0x00008ba3
0x5ea8b2dab513ba735b0df93394b3057fc2039c614e51a8870fd92cefce20443e,Approved 0x04bb878b For Trade On 0x7a25488d,Approved 0x04bb878b For Trade On 0x7a25488d
0x533a5735adc126cc75398b243786ee14c2b8db4bb3a60bed45f3dce5b95f649c,Mint 1 of 0x00000803,Mint 1 of 0x00000803
0x105554872960c5ddd03a1136da4d1f6263357aec21d85b14b0be468792e6c8d1,Transfer 669402483 0xdac11ec7 To 0xfaaa6545,Transfer 669402483 0xdac11ec7 To 0xfaaa6545
0xa745a111a8ae18878729b4b7a09de2641d6541dd2010a9a2d6e68405ba59ca5b,Approved 0x5f988ba0 For Trade On 0x881d300c,Approved 0x5f988ba0 For Trade On 0x881d300c
0xbe8469019a11ad5134c43cb49f54e3b6bae394ed21f98db1071e573336852c05,Swap 003 Ether For 24688565197293752 0xb389d312 On Uniswap V3,Swap 03 Ether For 24688565197293752 0xb389d312 On Uniswap V3
0x324424eb21192977518f2477c9e598b82f4978198292d67ae9d632e35554ac72,Approved 0x423f1eea For Trade On 0x00008ba3,Approved 0x423f1eea For Trade On 0x00008ba3
0x9a5ae0df5c7d5eae94debd7aa40136143ebfd5b1c9712be4eeb1a5614aef8146,Swap 00992 Ether For 43808029799234695978093628 0xb47cd6ce On Uniswap V2,Swap 01 Ether For 43808029799234695978093628 0xb47cd6ce On Uniswap V2
0x8ba5662ac5d524e9de43cb68a24f4b865bfd4f6e328fea90f81fbfbf8e16f7c9,Transfer 24000 0xdac11ec7 To 0x1522e428,Transfer 2400 0xdac11ec7 To 0x1522e428
0x184e57825a322b6bba20609b32e04e4aeccfb0c1ea87302b55b25919ee217561,Transfer 8785 0xdac11ec7 To 0x16892000,Transfer 8785 0xdac11ec7 To 0x16892000
0x21a929afbcdc8f80ce424b0f7a40cab154605d75d33fc2f8fb8761daf1b9540a,Mint 1 of 0xffffc164,Mint 1 of 0xffffc164
0x57ba5cca5323bd423eaa82afee05d1c747b7b36aea3671f4195544a87d6f1329,Mint 1 of 0x8d083b62,Mint 1 of 0x8d083b62
0x4e0eb8a447d6193e61f99234c73ffa4a6686a3a9f1fdd8f8fbe01325ec028526,Transfer 369526 0xdac11ec7 To 0xcea4e679,Transfer 369526 0xdac11ec7 To 0xcea4e679
0x20cf97227a31773b26a774073c0d4751fefd97e9983037405f32109a98aeb64d,Mint 1 of 0xffffc164,Mint 1 of 0xffffc164
0x2b2547c9393e5ddf056c76bc7ebd4db52a04d117252f31350048839d7fb8e064,Mint 1 of 0xf37be153,Mint 1 of 0xf37be153
0x2c2817462da6f5b5c811c9c184f68f89cc3404e9797b2f9ce964a77d60105a9c,Swap 44891257097910191841 0xf2ecb988 For 010711206929776309 Ether On Uniswap V2,Swap 044891257097910191841 0xf2ecb988 For 0107112069297763090 Ether On Uniswap V2
0x7e3834cda04a19fb80e5ffd1f7fa7f30b70478d2342afe70b1d8c3c515537e28,Swap 06 Ether For 73426703330519 0x5d39ce5e On Uniswap V2,Swap 006 Ether For 73426703330519 0x5d39ce5e On Uniswap V2
